Date,Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2024-04-01,10:00:00.000,38.05,228.32,-25.30,-28.42
2024-04-01,10:10:00.000,35.45,222.81,-26.01,-24.09
2024-04-01,10:20:00.000,36.97,220.02,-28.31,-23.77
2024-04-01,10:30:00.000,37.13,225.63,-25.96,-26.54
2024-04-01,10:40:00.000,36.97,215.20,-30.21,-21.31
2024-04-01,10:50:00.000,33.78,206.03,-30.35,-14.82
2024-04-01,11:00:00.000,72.46,35.36,59.10,41.93
2024-04-01,11:10:00.000,22.91,135.74,-16.40,15.99
2024-04-01,11:20:00.000,17.01,106.13,-4.72,16.34
2024-04-01,11:30:00.000,95.02,114.44,-39.31,86.51
2024-04-01,11:40:00.000,47.08,110.97,-16.85,43.96
2024-04-01,11:50:00.000,39.50,186.06,-39.28,-4.17
2024-04-01,12:00:00.000,43.19,156.54,-39.62,17.19
2024-04-01,12:10:00.000,34.13,264.63,-3.19,-33.98
2024-04-01,12:20:00.000,55.78,279.06,8.78,-55.08
2024-04-01,12:30:00.000,53.14,277.58,7.01,-52.67
2024-04-01,12:40:00.000,55.19,281.82,11.30,-54.02
2024-04-01,12:50:00.000,52.26,206.56,-46.74,-23.37
2024-04-01,13:00:00.000,64.38,187.23,-63.87,-8.10
2024-04-01,13:10:00.000,69.94,205.41,-63.17,-30.01
2024-04-01,13:20:00.000,70.44,207.79,-62.32,-32.84
2024-04-01,13:30:00.000,77.00,219.59,-59.34,-49.08
2024-04-01,13:40:00.000,70.95,218.69,-55.37,-44.35
2024-04-01,13:50:00.000,85.61,32.58,72.14,46.09
2024-04-01,14:00:00.000,54.90,117.15,-25.05,48.85
2024-04-01,14:10:00.000,9.98,209.36,-8.70,-4.89
2024-04-01,14:20:00.000,3.24,89.80,0.01,3.24
2024-04-01,14:30:00.000,1.23,69.20,0.44,1.15
2024-04-01,14:40:00.000,2.33,85.66,0.18,2.32
