ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2024-04-01T10:00:00.000,39.29,63.33,17.63,35.11
2024-04-01T10:10:00.000,37.09,122.29,-19.82,31.36
2024-04-01T10:20:00.000,37.99,104.05,-9.22,36.85
2024-04-01T10:30:00.000,38.38,144.91,-31.41,22.06
2024-04-01T10:40:00.000,39.61,349.05,38.88,-7.53
2024-04-01T10:50:00.000,34.47,352.03,34.14,-4.78
2024-04-01T11:00:00.000,12.29,177.03,-12.27,0.64
2024-04-01T11:10:00.000,15.16,229.16,-9.91,-11.47
2024-04-01T11:20:00.000,11.29,269.80,-0.04,-11.29
2024-04-01T11:30:00.000,1.58,9.98,1.55,0.27
2024-04-01T11:40:00.000,0.66,294.61,0.27,-0.60
2024-04-01T11:50:00.000,1.10,353.55,1.09,-0.12
2024-04-01T12:00:00.000,1.32,354.27,1.32,-0.13
2024-04-01T12:10:00.000,9.79,35.83,7.94,5.73
2024-04-01T12:20:00.000,8.12,346.66,7.90,-1.87
2024-04-01T12:30:00.000,6.30,348.40,6.17,-1.27
2024-04-01T12:40:00.000,8.17,354.17,8.13,-0.83
2024-04-01T12:50:00.000,6.87,2.29,6.86,0.27
2024-04-01T13:00:00.000,7.08,12.52,6.91,1.54
2024-04-01T13:10:00.000,5.76,23.59,5.28,2.30
2024-04-01T13:20:00.000,6.90,57.52,3.71,5.82
2024-04-01T13:30:00.000,6.87,49.40,4.47,5.21
2024-04-01T13:40:00.000,8.80,62.94,4.00,7.84
2024-04-01T13:50:00.000,8.19,71.58,2.59,7.77
2024-04-01T14:00:00.000,5.26,69.10,1.88,4.92
2024-04-01T14:10:00.000,8.62,76.82,1.96,8.39
2024-04-01T14:20:00.000,9.16,66.65,3.63,8.41
2024-04-01T14:30:00.000,13.60,63.77,6.01,12.20
2024-04-01T14:40:00.000,11.86,73.08,3.45,11.35
2024-04-01T14:50:00.000,9.90,83.47,1.13,9.83
2024-04-01T15:00:00.000,12.55,85.09,1.07,12.51
2024-04-01T15:10:00.000,11.05,81.29,1.67,10.92
2024-04-01T15:20:00.000,8.66,97.08,-1.07,8.60
2024-04-01T15:30:00.000,11.30,92.15,-0.42,11.29
2024-04-01T15:40:00.000,11.27,98.19,-1.60,11.15
2024-04-01T15:50:00.000,10.09,98.02,-1.41,9.99
2024-04-01T16:00:00.000,7.16,97.78,-0.97,7.09
2024-04-01T16:10:00.000,7.43,102.54,-1.61,7.25
2024-04-01T16:20:00.000,8.37,99.18,-1.34,8.27
2024-04-01T16:30:00.000,8.11,93.38,-0.48,8.09
2024-04-01T16:40:00.000,6.36,94.71,-0.52,6.34
2024-04-01T16:50:00.000,7.03,100.04,-1.23,6.92
2024-04-01T17:00:00.000,8.80,88.17,0.28,8.79
2024-04-01T17:10:00.000,5.06,82.82,0.63,5.03
2024-04-01T17:20:00.000,4.63,90.12,-0.01,4.63
2024-04-01T17:30:00.000,3.34,76.81,0.76,3.26
2024-04-01T17:40:00.000,3.33,60.32,1.65,2.90
2024-04-01T17:50:00.000,1.85,55.54,1.05,1.53
2024-04-01T18:00:00.000,0.20,18.59,0.19,0.06
2024-04-01T18:10:00.000,0.38,317.38,0.28,-0.26
2024-04-01T18:20:00.000,0.98,308.15,0.61,-0.77
2024-04-01T18:30:00.000,1.88,299.87,0.94,-1.63
2024-04-01T18:40:00.000,5.50,304.53,3.12,-4.53
2024-04-01T18:50:00.000,6.82,304.09,3.82,-5.65
2024-04-01T19:00:00.000,6.72,301.76,3.54,-5.72
2024-04-01T19:10:00.000,8.49,305.60,4.94,-6.90
2024-04-01T19:20:00.000,7.27,302.43,3.90,-6.14
2024-04-01T19:30:00.000,6.00,309.38,3.81,-4.64
2024-04-01T19:40:00.000,6.07,311.56,4.03,-4.55
2024-04-01T19:50:00.000,8.15,318.53,6.11,-5.40
2024-04-01T20:00:00.000,8.63,312.04,5.78,-6.41
2024-04-01T20:10:00.000,9.89,311.89,6.60,-7.36
2024-04-01T20:20:00.000,7.00,296.39,3.11,-6.27
2024-04-01T20:30:00.000,5.74,283.59,1.35,-5.58
2024-04-01T20:40:00.000,8.47,282.47,1.83,-8.27
2024-04-01T20:50:00.000,8.88,281.10,1.71,-8.72
2024-04-01T21:00:00.000,8.15,282.37,1.75,-7.96
2024-04-01T21:10:00.000,7.12,274.27,0.53,-7.10
2024-04-01T21:20:00.000,7.93,282.19,1.67,-7.75
2024-04-01T21:30:00.000,8.88,276.74,1.04,-8.81
2024-04-01T21:40:00.000,9.48,261.29,-1.44,-9.37
2024-04-01T21:50:00.000,8.03,247.59,-3.06,-7.42
2024-04-01T22:00:00.000,11.33,261.21,-1.73,-11.20
2024-04-01T22:10:00.000,8.60,244.37,-3.72,-7.75
2024-04-01T22:20:00.000,9.60,265.43,-0.76,-9.57
2024-04-01T22:30:00.000,9.50,279.88,1.63,-9.36
2024-04-01T22:40:00.000,11.90,277.00,1.45,-11.81
2024-04-01T22:50:00.000,8.15,260.94,-1.28,-8.05
2024-04-01T23:00:00.000,7.03,256.40,-1.65,-6.83
2024-04-01T23:10:00.000,6.50,259.10,-1.23,-6.38
2024-04-01T23:20:00.000,3.15,268.88,-0.06,-3.15
2024-04-01T23:30:00.000,8.60,296.44,3.83,-7.70
2024-04-01T23:40:00.000,9.77,298.98,4.73,-8.55
2024-04-01T23:50:00.000,8.31,306.51,4.94,-6.68
2024-04-02T00:00:00.000,5.96,313.09,4.07,-4.35
2024-04-02T00:10:00.000,5.76,308.84,3.61,-4.48
2024-04-02T00:20:00.000,2.52,301.75,1.32,-2.14
2024-04-02T00:30:00.000,2.07,308.03,1.27,-1.63
2024-04-02T00:40:00.000,1.13,284.31,0.28,-1.09
2024-04-02T00:50:00.000,1.02,298.08,0.48,-0.90
2024-04-02T01:00:00.000,0.33,329.01,0.29,-0.17
2024-04-02T01:10:00.000,3.38,97.99,-0.47,3.34
2024-04-02T01:20:00.000,7.83,92.28,-0.31,7.82
2024-04-02T01:30:00.000,9.58,106.32,-2.69,9.19
2024-04-02T01:40:00.000,6.33,82.61,0.81,6.28
2024-04-02T01:50:00.000,7.95,59.51,4.03,6.85
2024-04-02T02:00:00.000,9.26,62.88,4.22,8.24
2024-04-02T02:10:00.000,6.92,70.75,2.28,6.53
2024-04-02T02:20:00.000,10.81,73.95,2.99,10.39
2024-04-02T02:30:00.000,9.61,96.39,-1.07,9.55
2024-04-02T02:40:00.000,9.89,91.28,-0.22,9.88
2024-04-02T02:50:00.000,7.86,79.81,1.39,7.74
2024-04-02T03:00:00.000,9.86,89.57,0.07,9.86
2024-04-02T03:10:00.000,11.35,94.95,-0.98,11.31
2024-04-02T03:20:00.000,9.93,98.52,-1.47,9.82
2024-04-02T03:30:00.000,10.98,96.65,-1.27,10.90
2024-04-02T03:40:00.000,10.42,95.13,-0.93,10.38
2024-04-02T03:50:00.000,11.71,103.46,-2.73,11.39
2024-04-02T04:00:00.000,11.29,107.94,-3.48,10.74
2024-04-02T04:10:00.000,11.68,105.30,-3.08,11.26
2024-04-02T04:20:00.000,8.17,105.99,-2.25,7.86
2024-04-02T04:30:00.000,10.78,110.79,-3.83,10.08
2024-04-02T04:40:00.000,8.29,101.35,-1.63,8.13
2024-04-02T04:50:00.000,10.72,101.18,-2.08,10.52
2024-04-02T05:00:00.000,9.08,107.26,-2.69,8.67
2024-04-02T05:10:00.000,9.47,102.63,-2.07,9.24
2024-04-02T05:20:00.000,10.95,102.14,-2.30,10.71
2024-04-02T05:30:00.000,8.85,97.31,-1.13,8.78
2024-04-02T05:40:00.000,8.78,110.84,-3.12,8.20
2024-04-02T05:50:00.000,7.23,106.09,-2.00,6.95
2024-04-02T06:00:00.000,9.66,109.90,-3.29,9.08
2024-04-02T06:10:00.000,7.82,110.63,-2.75,7.31
2024-04-02T06:20:00.000,8.16,103.48,-1.90,7.94
2024-04-02T06:30:00.000,8.01,108.15,-2.50,7.61
2024-04-02T06:40:00.000,6.43,104.12,-1.57,6.24
2024-04-02T06:50:00.000,6.22,106.63,-1.78,5.96
2024-04-02T07:00:00.000,2.41,107.00,-0.70,2.30
2024-04-02T07:10:00.000,5.95,92.72,-0.28,5.94
2024-04-02T07:20:00.000,3.23,61.33,1.55,2.83
2024-04-02T07:30:00.000,5.54,61.87,2.61,4.88
2024-04-02T07:40:00.000,4.37,29.85,3.79,2.17
2024-04-02T07:50:00.000,4.33,7.11,4.29,0.54
2024-04-02T08:00:00.000,6.94,330.22,6.02,-3.44
2024-04-02T08:10:00.000,3.82,284.95,0.99,-3.69
2024-04-02T08:20:00.000,5.23,279.89,0.90,-5.15
2024-04-02T08:30:00.000,6.81,268.78,-0.15,-6.81
2024-04-02T08:40:00.000,5.35,275.23,0.49,-5.33
2024-04-02T08:50:00.000,6.95,273.41,0.41,-6.93
2024-04-02T09:00:00.000,8.87,264.69,-0.82,-8.83
2024-04-02T09:10:00.000,8.38,262.71,-1.06,-8.31
2024-04-02T09:20:00.000,6.99,253.66,-1.97,-6.70
2024-04-02T09:30:00.000,7.82,269.68,-0.04,-7.82
2024-04-02T09:40:00.000,11.12,260.69,-1.80,-10.98
2024-04-02T09:50:00.000,9.70,250.10,-3.30,-9.12
2024-04-02T10:00:00.000,6.59,252.42,-1.99,-6.28
2024-04-02T10:10:00.000,10.13,233.90,-5.97,-8.19
2024-04-02T10:20:00.000,4.97,248.10,-1.85,-4.61
2024-04-02T10:30:00.000,4.11,295.93,1.80,-3.69
2024-04-02T10:40:00.000,4.66,256.54,-1.09,-4.54
2024-04-02T10:50:00.000,4.89,207.77,-4.32,-2.28
2024-04-02T11:00:00.000,1.40,230.87,-0.88,-1.09
2024-04-02T11:10:00.000,2.31,242.28,-1.07,-2.04
2024-04-02T11:20:00.000,0.55,229.20,-0.36,-0.42
2024-04-02T11:30:00.000,1.79,64.62,0.77,1.61
2024-04-02T11:40:00.000,2.69,319.55,2.05,-1.74
2024-04-02T11:50:00.000,5.89,175.14,-5.87,0.50
2024-04-02T12:00:00.000,6.69,85.21,0.56,6.67
2024-04-02T12:10:00.000,1.90,130.77,-1.24,1.44
2024-04-02T12:20:00.000,4.12,122.56,-2.22,3.48
2024-04-02T12:30:00.000,10.18,114.92,-4.29,9.23
2024-04-02T12:40:00.000,6.84,127.28,-4.14,5.44
2024-04-02T12:50:00.000,4.24,93.10,-0.23,4.24
2024-04-02T13:00:00.000,9.10,88.77,0.19,9.10
2024-04-02T13:10:00.000,9.88,93.91,-0.67,9.86
2024-04-02T13:20:00.000,17.77,90.47,-0.15,17.77
2024-04-02T13:30:00.000,9.94,112.66,-3.83,9.17
2024-04-02T13:40:00.000,5.92,108.94,-1.92,5.60
2024-04-02T13:50:00.000,9.99,115.10,-4.24,9.04
2024-04-02T14:00:00.000,7.15,80.19,1.22,7.05
2024-04-02T14:10:00.000,4.78,72.81,1.41,4.57
2024-04-02T14:20:00.000,10.82,61.62,5.14,9.52
2024-04-02T14:30:00.000,7.43,93.62,-0.47,7.42
2024-04-02T14:40:00.000,7.94,73.71,2.23,7.62
2024-04-02T14:50:00.000,9.02,99.30,-1.46,8.90
2024-04-02T15:00:00.000,9.38,92.73,-0.45,9.37
2024-04-02T15:10:00.000,4.92,117.33,-2.26,4.37
2024-04-02T15:20:00.000,7.92,76.34,1.87,7.70
2024-04-02T15:30:00.000,8.87,99.31,-1.44,8.75
2024-04-02T15:40:00.000,14.06,96.53,-1.60,13.97
2024-04-02T15:50:00.000,18.84,90.21,-0.07,18.84
2024-04-02T16:00:00.000,7.35,96.70,-0.86,7.30
2024-04-02T16:10:00.000,6.49,69.44,2.28,6.07
2024-04-02T16:20:00.000,17.58,92.96,-0.91,17.56
2024-04-02T16:30:00.000,12.71,102.83,-2.82,12.39
2024-04-02T16:40:00.000,8.28,122.99,-4.51,6.95
