location,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides,Puerto Madryn,Puerto Pirámides
lat,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899,-42.79549,-42.52899
lon,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407,-65.01676,-64.23407
asl,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241,51.448,50.241
variable,Temperature,Temperature,Growing Degree Days,Growing Degree Days,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Sunshine Duration,Sunshine Duration,Shortwave Radiation,Shortwave Radiation,Direct Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,°C,GDDc,GDDc,°C,°C,°C,°C,°C,°C,min,min,W/m²,W/m²,W/m²,W/m²,W/m²,W/m²
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,1000 mb,1000 mb,850 mb,850 mb,700 mb,700 mb,sfc,sfc,sfc,sfc,sfc,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Puerto Madryn Temperature [2 m elevation corrected],Puerto Pirámides Temperature [2 m elevation corrected],Puerto Madryn Growing Degree Days [2 m elevation corrected],Puerto Pirámides Growing Degree Days [2 m elevation corrected],Puerto Madryn Temperature [1000 mb],Puerto Pirámides Temperature [1000 mb],Puerto Madryn Temperature [850 mb],Puerto Pirámides Temperature [850 mb],Puerto Madryn Temperature [700 mb],Puerto Pirámides Temperature [700 mb],Puerto Madryn Sunshine Duration,Puerto Pirámides Sunshine Duration,Puerto Madryn Shortwave Radiation,Puerto Pirámides Shortwave Radiation,Puerto Madryn Direct Shortwave Radiation,Puerto Pirámides Direct Shortwave Radiation,Puerto Madryn Diffuse Shortwave Radiation,Puerto Pirámides Diffuse Shortwave Radiation
20180801T0000,3.1929142,6.374569,0.0,0.0,7.93,8.62,0.93,0.97,-8.77,-8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180801T0100,3.842914,6.114569,0.0,0.0,6.73,7.49,0.89,0.91,-8.76,-8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
