FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40c8,912341863,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG1,San Roman,-42.26,-64.23,10/04/2012,9.5,RLS,8,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus auriga,Serranus auriga,10,1,,POINT (-64.2300033569336 -42.2599983215332)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40c9,912341864,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG1,San Roman,-42.26,-64.23,10/04/2012,10,RLS,8,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,2.5,1,0.3169,POINT (-64.2300033569336 -42.2599983215332)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ca,912341864,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG1,San Roman,-42.26,-64.23,10/04/2012,10,RLS,8,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,8,1.5261,POINT (-64.2300033569336 -42.2599983215332)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40cb,912341864,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG1,San Roman,-42.26,-64.23,10/04/2012,10,RLS,8,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus auriga,Serranus auriga,10,1,,POINT (-64.2300033569336 -42.2599983215332)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40cc,912341864,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG1,San Roman,-42.26,-64.23,10/04/2012,10,RLS,8,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,5,0.9538,POINT (-64.2300033569336 -42.2599983215332)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40cd,912341865,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG10,Los Bollones,-42.93,-64.5,15/04/2012,10,RLS,6,13:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,13,,POINT (-64.5 -42.93000030517578)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40ce,912341865,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG10,Los Bollones,-42.93,-64.5,15/04/2012,10,RLS,6,13:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,16,,POINT (-64.5 -42.93000030517578)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40cf,912341866,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG11,Punta la Islita,-41.96,-65.06,17/04/2012,14,RLS,5,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,0,3,,POINT (-65.05999755859375 -41.959999084472656)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d0,912341867,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,4,RLS,7,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,5,1,2.2784,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d1,912341867,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,4,RLS,7,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,8,1.5261,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d2,912341867,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,4,RLS,7,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,5,1,2.2784,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d3,912341867,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,4,RLS,7,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,7,1.3353,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d4,912341868,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,3.5,RLS,7,11:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,9,1.7168,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d5,912341868,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,3.5,RLS,7,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Clinidae,Ribeiroclinus eigenmanni,Ribeiroclinus eigenmanni,5,1,2.2784,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d6,912341868,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG12,La Islita,-41.95,-65.06,17/04/2012,3.5,RLS,7,11:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,3,0.5723,POINT (-65.05999755859375 -41.95000076293945)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d7,912341869,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,17/04/2012,3.5,RLS,6,13:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Bovichtidae,Bovichtus argentinus,Bovichtus argentinus,15,1,82.0647,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d8,912341869,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,17/04/2012,3.5,RLS,6,13:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,2,0.3815,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40d9,912341869,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,17/04/2012,3.5,RLS,6,13:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,2,0.3815,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40da,912341870,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,16/04/2012,4,RLS,6,13:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Bovichtidae,Bovichtus argentinus,Bovichtus argentinus,5,1,1.4479,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40db,912341870,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,16/04/2012,4,RLS,6,13:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,4,0.763,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40dc,912341870,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,16/04/2012,4,RLS,6,13:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Bovichtidae,Bovichtus argentinus,Bovichtus argentinus,7.5,3,19.2749,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40dd,912341870,Argentina,Rio Negro,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG13,Alejos Crack,-41.94,-65.06,16/04/2012,4,RLS,6,13:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,3,0.5723,POINT (-65.05999755859375 -41.939998626708984)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40de,912341871,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG2,Pafer,-42.63,-64.26,11/04/2012,15.5,RLS,6,10:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,3,0.5723,POINT (-64.26000213623047 -42.630001068115234)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40df,912341871,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG2,Pafer,-42.63,-64.26,11/04/2012,15.5,RLS,6,10:00:00,,,2,1,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,5,1,1.6243,POINT (-64.26000213623047 -42.630001068115234)
ep_m2_cryptic_fish_public_data.fid--31a9fed_181c19d5409_40e0,912341871,Argentina,Chubut,North Patagonian Gulfs,Temperate South America,Argentinian Gulfs,ARG2,Pafer,-42.63,-64.26,11/04/2012,15.5,RLS,6,10:00:00,,,2,2,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Helcogrammoides cunninghami,Helcogrammoides cunninghami,2.5,4,0.763,POINT (-64.26000213623047 -42.630001068115234)
