FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M2_INVERT_DATA.4720,4720,912341867,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,4,Echinodermata,Asteroidea,Ganeriidae,Cycethra verrucosa,1,1,GJE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4721,4721,912341867,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,4,Echinodermata,Asteroidea,Odontasteridae,Odontaster penicillatus,2,1,GJE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4722,4722,912341867,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,4,Mollusca,Gastropoda,Turbinidae,Tegula patagonica,1,430,GJE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4723,4723,912341867,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,4,Mollusca,Gastropoda,Turbinidae,Tegula patagonica,2,209,GJE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4724,4724,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Stichasteridae,Allostichaster capensis,1,5,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4725,4725,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Stichasteridae,Allostichaster capensis,2,5,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4726,4726,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Asteriidae,Anasterias antarctica,2,3,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4727,4727,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Echinoidea,Arbaciidae,Arbacia dufresnii,1,36,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4728,4728,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Echinoidea,Arbaciidae,Arbacia dufresnii,2,29,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4729,4729,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Astropectinidae,Astropecten spp.,1,1,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4730,4730,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Astropectinidae,Astropecten spp.,2,1,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4731,4731,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Mollusca,Gastropoda,Turbinidae,Tegula patagonica,1,650,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4732,4732,912341868,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-16T14:00:00Z,3.5,Mollusca,Gastropoda,Turbinidae,Tegula patagonica,2,520,SCE,POINT (-65.06 -41.95)
M2_INVERT_DATA.4733,4733,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Stichasteridae,Allostichaster capensis,1,2,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4734,4734,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Stichasteridae,Allostichaster capensis,2,10,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4735,4735,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Echinoidea,Arbaciidae,Arbacia dufresnii,1,71,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4736,4736,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Echinoidea,Arbaciidae,Arbacia dufresnii,2,85,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4737,4737,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Mollusca,Gastropoda,Trochidae,Calliostoma spp.,1,2,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4738,4738,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Ganeriidae,Cycethra verrucosa,2,1,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4739,4739,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Mollusca,Gastropoda,,Nudibranchia spp.,2,1,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4740,4740,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Echinodermata,Asteroidea,Odontasteridae,Odontaster penicillatus,1,1,AI,POINT (-65.06 -41.94)
M2_INVERT_DATA.4741,4741,912341869,Argentina,North Patagonian Gulfs,Temperate South America,ARG13,Alejos Crack,-41.94,-65.06,2012-04-16T14:00:00Z,3.5,Mollusca,Gastropoda,Volutidae,Odontocymbiola magellanica,2,1,AI,POINT (-65.06 -41.94)
