Date.Hour,Datetime,month,hour,Date.Hour Windows format,Temp.,SITE
15/07/2018 03:42:00 p.m.,15/07/2018,07,03:42:00 p.m,43296.65417,11.11422468,PC
15/07/2018 04:42:00 p.m.,15/07/2018,07,04:42:00 p.m,43296.69583,11.11422468,PC
15/07/2018 05:42:00 p.m.,15/07/2018,07,05:42:00 p.m,43296.7375,11.23891499,PC
15/07/2018 06:42:00 p.m.,15/07/2018,07,06:42:00 p.m,43296.77917,11.23891499,PC
15/07/2018 07:42:00 p.m.,15/07/2018,07,07:42:00 p.m,43296.82083,11.23891499,PC
15/07/2018 08:42:00 p.m.,15/07/2018,07,08:42:00 p.m,43296.8625,11.23891499,PC
15/07/2018 09:42:00 p.m.,15/07/2018,07,09:42:00 p.m,43296.90417,11.23891499,PC
15/07/2018 10:42:00 p.m.,15/07/2018,07,10:42:00 p.m,43296.94583,11.23891499,PC
15/07/2018 11:42:00 p.m.,15/07/2018,07,11:42:00 p.m,43296.9875,11.11422468,PC
16/07/2018 12:42:00 a.m.,16/07/2018,07,12:42:00 a.m,43297.02917,11.23891499,PC
16/07/2018 01:42:00 a.m.,16/07/2018,07,01:42:00 a.m,43297.07083,11.23891499,PC
16/07/2018 02:42:00 a.m.,16/07/2018,07,02:42:00 a.m,43297.1125,11.23891499,PC
16/07/2018 03:42:00 a.m.,16/07/2018,07,03:42:00 a.m,43297.15417,11.11422468,PC
16/07/2018 04:42:00 a.m.,16/07/2018,07,04:42:00 a.m,43297.19583,11.11422468,PC
16/07/2018 05:42:00 a.m.,16/07/2018,07,05:42:00 a.m,43297.2375,11.11422468,PC
16/07/2018 06:42:00 a.m.,16/07/2018,07,06:42:00 a.m,43297.27917,10.98953089,PC
16/07/2018 07:42:00 a.m.,16/07/2018,07,07:42:00 a.m,43297.32083,11.11422468,PC
16/07/2018 08:42:00 a.m.,16/07/2018,07,08:42:00 a.m,43297.3625,10.98953089,PC
16/07/2018 09:42:00 a.m.,16/07/2018,07,09:42:00 a.m,43297.40417,10.61542854,PC
16/07/2018 10:42:00 a.m.,16/07/2018,07,10:42:00 a.m,43297.44583,10.74013281,PC
16/07/2018 11:42:00 a.m.,16/07/2018,07,11:42:00 a.m,43297.4875,10.8648336,PC
16/07/2018 12:42:00 p.m.,16/07/2018,07,12:42:00 p.m,43297.52917,10.98953089,PC
16/07/2018 01:42:00 p.m.,16/07/2018,07,01:42:00 p.m,43297.57083,11.11422468,PC
16/07/2018 02:42:00 p.m.,16/07/2018,07,02:42:00 p.m,43297.6125,11.11422468,PC
16/07/2018 03:42:00 p.m.,16/07/2018,07,03:42:00 p.m,43297.65417,11.23891499,PC
