Date.Hour,Datetime,month,year,hour,Date.Hour Windows format,Temp. ,SITE
01/04/2019 12:01:00 a.m.,01/04/2019,4,2019,12:01:00 a.m,43556.00069,16.48695191,Alero20m
01/04/2019 02:01:00 a.m.,01/04/2019,4,2019,02:01:00 a.m,43556.08403,16.48695191,Alero20m
01/04/2019 04:01:00 a.m.,01/04/2019,4,2019,04:01:00 a.m,43556.16736,16.36121465,Alero20m
01/04/2019 06:01:00 a.m.,01/04/2019,4,2019,06:01:00 a.m,43556.25069,16.36121465,Alero20m
01/04/2019 08:01:00 a.m.,01/04/2019,4,2019,08:01:00 a.m,43556.33403,16.48695191,Alero20m
01/04/2019 10:01:00 a.m.,01/04/2019,4,2019,10:01:00 a.m,43556.41736,16.61268759,Alero20m
01/04/2019 12:01:00 p.m.,01/04/2019,4,2019,12:01:00 p.m,43556.50069,16.61268759,Alero20m
01/04/2019 02:01:00 p.m.,01/04/2019,4,2019,02:01:00 p.m,43556.58403,16.61268759,Alero20m
01/04/2019 04:01:00 p.m.,01/04/2019,4,2019,04:01:00 p.m,43556.66736,16.61268759,Alero20m
01/04/2019 06:01:00 p.m.,01/04/2019,4,2019,06:01:00 p.m,43556.75069,16.61268759,Alero20m
01/04/2019 08:01:00 p.m.,01/04/2019,4,2019,08:01:00 p.m,43556.83403,16.61268759,Alero20m
01/04/2019 10:01:00 p.m.,01/04/2019,4,2019,10:01:00 p.m,43556.91736,16.48695191,Alero20m
02/04/2019 12:01:00 a.m.,02/04/2019,4,2019,12:01:00 a.m,43557.00069,16.61268759,Alero20m
02/04/2019 02:01:00 a.m.,02/04/2019,4,2019,02:01:00 a.m,43557.08403,16.61268759,Alero20m
02/04/2019 04:01:00 a.m.,02/04/2019,4,2019,04:01:00 a.m,43557.16736,16.61268759,Alero20m
02/04/2019 06:01:00 a.m.,02/04/2019,4,2019,06:01:00 a.m,43557.25069,16.61268759,Alero20m
02/04/2019 08:01:00 a.m.,02/04/2019,4,2019,08:01:00 a.m,43557.33403,16.73842168,Alero20m
02/04/2019 10:01:00 a.m.,02/04/2019,4,2019,10:01:00 a.m,43557.41736,16.73842168,Alero20m
02/04/2019 12:01:00 p.m.,02/04/2019,4,2019,12:01:00 p.m,43557.50069,16.73842168,Alero20m
02/04/2019 02:01:00 p.m.,02/04/2019,4,2019,02:01:00 p.m,43557.58403,16.73842168,Alero20m
02/04/2019 04:01:00 p.m.,02/04/2019,4,2019,04:01:00 p.m,43557.66736,16.48695191,Alero20m
02/04/2019 06:01:00 p.m.,02/04/2019,4,2019,06:01:00 p.m,43557.75069,16.61268759,Alero20m
02/04/2019 08:01:00 p.m.,02/04/2019,4,2019,08:01:00 p.m,43557.83403,16.36121465,Alero20m
02/04/2019 10:01:00 p.m.,02/04/2019,4,2019,10:01:00 p.m,43557.91736,16.2354758,Alero20m
03/04/2019 12:01:00 a.m.,03/04/2019,4,2019,12:01:00 a.m,43558.00069,16.36121465,Alero20m
03/04/2019 02:01:00 a.m.,03/04/2019,4,2019,02:01:00 a.m,43558.08403,16.61268759,Alero20m
03/04/2019 04:01:00 a.m.,03/04/2019,4,2019,04:01:00 a.m,43558.16736,16.61268759,Alero20m
03/04/2019 06:01:00 a.m.,03/04/2019,4,2019,06:01:00 a.m,43558.25069,16.61268759,Alero20m
03/04/2019 08:01:00 a.m.,03/04/2019,4,2019,08:01:00 a.m,43558.33403,16.61268759,Alero20m
03/04/2019 10:01:00 a.m.,03/04/2019,4,2019,10:01:00 a.m,43558.41736,16.61268759,Alero20m
03/04/2019 12:01:00 p.m.,03/04/2019,4,2019,12:01:00 p.m,43558.50069,16.61268759,Alero20m
03/04/2019 02:01:00 p.m.,03/04/2019,4,2019,02:01:00 p.m,43558.58403,16.61268759,Alero20m
03/04/2019 04:01:00 p.m.,03/04/2019,4,2019,04:01:00 p.m,43558.66736,16.61268759,Alero20m
