"","rich.results.depth[[1]]$sumcol","S","M","D"
"Ascidiella.aspersa",9,9,30,31
"Aulacomya.atra",53,53,100,36
"Allostichaster.capensis",1,1,1,0
"Anthothoe.chilensis",7,7,5,3
"Arbacia.dufresnii",109,109,75,33
"Aplidium.sp.",0,0,8,0
"Austromegabalanus.psittacus",1,1,0,1
"Asterocarpa.humilis",6,6,4,2
"Corella.eumyota",0,0,0,5
"Aequipecten.tehuelchus",0,0,0,1
"Magellania.venosa",0,0,12,1
"Bryozoan",1,1,29,5
"Corynactis.carnea",117,117,182,118
"Ciona.intestinalis",0,0,0,1
"Cosmasterias.lurida",0,0,5,3
"Colonial.tunicate",39,39,97,83
"Ciona.robusta",0,0,9,1
"Cycethra.verrucosa",0,0,6,7
"Rock.boring.bivalves",129,129,149,102
"Doris.fontainii",1,1,0,1
"Diaulula.punctuolata",0,0,3,2
"Diplosoma.listerianum",21,21,20,25
"Fissurellidea.patagonica",3,3,3,1
"Halcurias.sp.",5,5,59,46
"Hydrozoan",2,2,3,1
"Lissoclinum.fragile",9,9,33,49
"Metridium.senile",1,1,1,0
"Myxicola",2,2,1,0
"Ophioplocus.januarii",0,0,2,4
"Odontaster.penicillatus",1,1,1,2
"Paramolgula.gregaria",0,0,2,4
"Parabunodactis.imperfecta",9,9,2,1
"Pleurobranchaea.maculata",1,1,2,1
"Pseudechinus.magellanicus",3,3,3,19
"Fissurella.radiosa.tixierae",1,1,3,0
"Clathria.sp.",0,0,15,18
"Cliona.sp.",1,1,1,4
"Sponge..Encrusting",46,46,110,96
"Sponge..Masive",8,8,94,86
"Sponge..Repent",6,6,29,29
"Darwinella.cf..rosacea",3,3,16,24
"Tripalea.clavaria",0,0,2,0
"Terebellidae",18,18,26,22
"Sponge..Tubular",4,4,58,71
"Worms..Polychaetes..Tube.worms",0,0,17,21
"Sponge..massive.violet",10,10,24,15
"brown.encrusting.algae",45,45,20,10
"Crustose.coralline.algae",86,86,137,110
"Codium.vermilara.fragile",22,22,36,23
"Corallina.officinalis..substratum.",1,1,0,0
"Colpomenia.sinuosa",1,1,0,0
"Dictyota.dichotoma",99,99,50,26
"Macroalgae..Filamentous",129,129,184,105
"Lomentaria.clavellosa",2,2,1,2
"Hymenena.Phycodrys",3,3,43,76
"Ulva.sp.",12,12,41,35
"Juvenile.Undaria.pinnatifida",1,1,1,0
"Tegula.patagonica",33,33,68,61
"Leucippa.pentagona",7,7,1,11
"Patagonotothen",2,2,0,0
"Ribeiroclinus.eigenmanni",0,0,2,1
"Helcogrammoides.cunninghami",55,55,50,25
"Pachycheles.chubutensis",1,1,1,1
"Polycera.marplatensis",0,0,2,0
"Phrikoceros.mopsus",0,0,3,1
"Sebastes.oculatus",0,0,6,4
"Trapania",0,0,1,0
"Calliostoma",0,0,3,2
"Heterobranchia",0,0,0,1
"Sponge..Calcareous",0,0,1,1
