Image ID,Image name,Annotation status,Points,Aequipecten tehuelchus,Anthothoe chilensis,Aplidium sp.,Arbacia dufresnii,Ascidians: stalked:Colonial,Ascidians: stalked: Solitary,Ascidians: Unstalked: Colonial,Ascidians: Unstalked: Solitary,Ascidiella aspersa,Asterocarpa humilis,Aulacomya atra,Austromegabalanus psittacus,Balanus glandula,Boring Bivalves,Bryozoa: hard: branching,Bryozoa: hard: encrusting,Bryozoa: hard: massive,Bugulina sp.,Calcareous sponge,Ciona robusta,Clathria sp.,Cliona sp.,Cnidaria: Hydroids,Corella eumyota,Corynactis carnea,Cosmasterias lurida,Cycethra verrucosa,Darwinella cf. rosacea,Diplosoma listerianum,Fissurellidea patagonica,Halcurias sp.,Lissoclinum fragile,Magellania venosa,Metridium senile,Mytilus edulis,Myxicola,Odontaster penicillatus,Parabunodactis imperfecta,Paramolgula gregaria,Pleurobranchaea maculata,Sabellidae,Sponge: Encrusting,Sponge: Massive,Sponge: massive violet,Sponges: Cup-likes: Tubes and chimneys,Sponges: Erect forms:  Branching,Terebellidae,Tripalea clavaria,Worms: Polychaetes: Tube worms,Shell/ Shell Hash,Substrate: Consolidated (hard),Shadow,Unknown,white net,Asperococcus ensiformis,Codium vermilara/fragile,Colpomenia sinuosa,Corallina officinalis (substratum),Dictyota dichotoma,Lomentaria clavellosa,Macroalgae: Encrusting: brown,Macroalgae:Encrusting:Red:Calcareous:Crustose,Macroalgae: Filamentous / filiform : brown,Macroalgae: Filamentous / filiform : green,Macroalgae: Filamentous / filiform : red,Macroalgae: Sheet-like / membraneous: red,Ulva,Undaria pinnatifida
3686306,IMG_0011_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,10.000,0.000,0.000,0.000
3686305,IMG_0012_C2.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,1.000,0.000,0.000,42.000,0.000,0.000,1.000
3686304,IMG_0013_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000
3686303,IMG_0014_C2.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,54.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000
3686302,IMG_0015_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,43.000,0.000,0.000,0.000
3686300,IMG_0016_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,40.000,1.000,0.000,0.000
3686301,IMG_0017_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,71.000,0.000,0.000,2.000
3686299,IMG_0018_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000
3686298,IMG_0019_C2.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,2.000
3687317,IMG_0020_C2.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,10.000
