Image ID,Image name,Annotation status,Points,ASC,AUC,AUS,BRY,CBW,CNCAC,CNTR,CRB,EOBSS,ESS,ESUR,MOB,MOG,SPMSI,WPOT,SC,SHAD,Unc,MAAR,MAECG,MAEFR,MAEN,MAENG,MAENRC,MAFG,MAFR,MAGB,MALCB,MASB,MASG,MASR
3421997,IMG_0001.jpg,Unconfirmed,100,0.000,5.000,0.000,0.000,1.000,1.000,8.000,0.000,0.000,0.000,2.000,0.000,0.000,23.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421995,IMG_0003.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,96.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421994,IMG_0004.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,88.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421993,IMG_0005.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,91.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421991,IMG_0006.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,95.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421990,IMG_0007.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,94.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421989,IMG_0008.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,1.000,83.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421988,IMG_0009.jpg,Unconfirmed,100,0.000,0.000,23.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,68.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
3421986,IMG_0010.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421985,IMG_0011.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.000,90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421984,IMG_0012.jpg,Unconfirmed,100,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000,36.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
3421983,IMG_0013.jpg,Unconfirmed,100,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,7.000,26.000,0.000,44.000,0.000,1.000,0.000,0.000,10.000,0.000,6.000
3421982,IMG_0014.jpg,Unconfirmed,100,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000
3421980,IMG_0015.jpg,Unconfirmed,100,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,15.000,0.000,71.000,0.000,0.000,0.000,0.000,1.000,0.000,3.000
3421979,IMG_0017.jpg,Confirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,21.000,61.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421978,IMG_0018.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,52.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421977,IMG_0019.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,2.000,0.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,59.000,0.000,10.000,0.000,1.000,0.000,0.000,3.000,0.000,3.000
3421975,IMG_0020.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,13.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,52.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,1.000
3421974,IMG_0021.jpg,Unconfirmed,100,0.000,2.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,37.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
3421973,IMG_0022.jpg,Confirmed,100,0.000,1.000,0.000,0.000,0.000,0.000,75.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,21.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421972,IMG_0023.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,79.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000,16.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421969,IMG_0024.jpg,Unconfirmed,100,0.000,1.000,0.000,0.000,0.000,1.000,43.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.000,5.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3421967,IMG_0025.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,38.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421965,IMG_0026.jpg,Unconfirmed,100,1.000,14.000,0.000,0.000,2.000,1.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,19.000,31.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421963,IMG_0027.jpg,Unconfirmed,100,0.000,5.000,1.000,0.000,0.000,1.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,4.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421960,IMG_0028.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,1.000,0.000,0.000,4.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,41.000,3.000,35.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
3421958,IMG_0029.jpg,Unconfirmed,100,0.000,1.000,2.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,42.000,4.000,36.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421957,IMG_0030.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,65.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421954,IMG_0031.jpg,Unconfirmed,100,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,53.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421952,IMG_0032.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,46.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3421950,IMG_0033.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,16.000,35.000,34.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
3421949,IMG_0034.jpg,Unconfirmed,100,0.000,2.000,2.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,1.000,0.000,0.000,17.000,53.000,1.000,0.000,0.000,0.000,0.000,4.000,0.000,4.000
3421947,IMG_0035.jpg,Unconfirmed,100,0.000,1.000,1.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,36.000,37.000,8.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000
3421945,IMG_0036.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,29.000,39.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
