"Label","nPoints","Percent","site"
"MAENRC",2243,10.3,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Tierra del Fuego, Ushuaia, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"MAFR",2094,9.6,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Tierra del Fuego, Puerto Deseado"
"MALCB",1582,7.2,"Hoppner, Puerto Lobos, Punta Buenos Aires, Ushuaia, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"MASB",1558,7.1,"Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Puerto Deseado"
"MASR",1535,7,"Hoppner, Puerto Lobos, Punta Buenos Aires, Puerto Piramides, Tierra del Fuego, Ushuaia, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"MAEFR",1462,6.7,"Las Grutas, Ushuaia, Camarones, Puerto Deseado"
"MAECG",1016,4.7,"Punta Buenos Aires, Las Grutas, Puerto Piramides, Comodoro Rivadavia, Camarones, Caleta Olivia"
"CNCAC",1015,4.6,"Punta Buenos Aires, Las Grutas, Puerto Piramides, Camarones"
"MAAR",987,4.5,"Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"CNTR",845,3.9,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Tierra del Fuego, Comodoro Rivadavia, Camarones, Caleta Olivia"
"MOB",833,3.8,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Puerto Deseado"
"SPMSI",818,3.7,"Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Ushuaia, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"SC",765,3.5,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Tierra del Fuego, Ushuaia, Caleta Olivia, Puerto Deseado"
"MAEN",742,3.4,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Tierra del Fuego, Ushuaia, Camarones"
"ESUR",687,3.1,"Hoppner, Puerto Lobos, Punta Buenos Aires, Puerto Piramides, Tierra del Fuego, Ushuaia, Comodoro Rivadavia, Caleta Olivia, Camarones"
"MASG",676,3.1,"Puerto Lobos, Punta Buenos Aires, Camarones, Caleta Olivia, Puerto Deseado"
"AUS",528,2.4,"Puerto Lobos, Punta Buenos Aires, Las Grutas, Puerto Piramides, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"ESS",437,2,"Puerto Lobos, Punta Buenos Aires, Puerto Piramides, Ushuaia, Tierra del Fuego, Comodoro Rivadavia, Camarones, Caleta Olivia"
"AUC",386,1.8,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Ushuaia, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"ASC",379,1.7,"Puerto Lobos, Punta Buenos Aires, Las Grutas, Comodoro Rivadavia, Camarones, Caleta Olivia, Puerto Deseado"
"CBW",348,1.6,"Puerto Lobos, Las Grutas"
"MAENG",331,1.5,"Hoppner, Ushuaia, Tierra del Fuego"
"SHAD",214,1,"Hoppner, Puerto Lobos, Punta Buenos Aires, Las Grutas, Ushuaia, Tierra del Fuego, Camarones, Puerto Deseado"
"EOBSS",151,0.7,"Punta Buenos Aires"
"ASS",96,0.4,"Las Grutas, Puerto Deseado"
"MAFG",93,0.4,"Las Grutas, Comodoro Rivadavia, Camarones, Puerto Deseado"
"WPOT",17,0.1,"Las Grutas, Puerto Deseado"
"BRY",8,0,"Las Grutas, Ushuaia"
"MAGB",1,0,"Puerto Deseado"
